transaction_id,user_id,account_age_days,transaction_amount,transaction_type,merchant_category,country,city,device_type,is_fraud,credit_score,income,balance,num_previous_transactions,avg_monthly_spend,payment_method,hour_of_day,day_of_week,lat,lon,session_duration,num_items,discount_applied,loyalty_points,risk_score,employment_status,age,gender,tenure_years,customer_segment
25,100138,142,33.22,transfer,utilities,US,Miami,tablet,1,582,34478.0,10404.56,2,705.04,wallet,9,1,25.77393,-80.19408,26.5,2,0,421,40.4,student,69,male,0.0,standard
26,100332,989,18.66,withdrawal,health,AR,Buenos Aires,mobile,1,554,47776.13,36793.55,43,2066.85,cash,11,5,-34.59176,-58.36281,59.9,7,0,2197,35.7,student,66,male,3.02,premium
27,100313,366,21.49,transfer,grocery,MX,Mexico City,mobile,1,588,69472.54,63621.05,7,5000.0,card,8,0,19.46374,-99.17545,41.5,21,1,5610,31.1,employed,53,male,1.03,premium
28,100059,731,16.23,purchase,fashion,CO,Bogota,mobile,0,469,51177.05,42316.12,23,3925.61,card,14,1,4.7445,-74.08299,10.0,14,1,5214,24.7,employed,32,female,2.0,premium
29,100212,473,13.19,purchase,travel,AR,Buenos Aires,tablet,0,508,20913.6,16439.49,16,1284.25,wallet,18,6,-34.59819,-58.3967,38.0,5,1,1186,16.0,retired,36,male,1.56,basic
30,100171,439,16.67,purchase,travel,PE,Lima,mobile,0,552,30091.86,20136.83,12,1752.86,wallet,13,0,-12.0238,-77.06142,10.0,15,0,1971,25.3,self_employed,53,female,1.13,standard
31,100375,714,18.62,purchase,grocery,PE,Lima,mobile,0,602,65663.53,65259.92,27,5000.0,cash,9,4,-12.05042,-77.03564,42.2,18,1,6791,35.7,employed,61,male,2.81,premium
32,100085,641,16.26,purchase,utilities,MX,Mexico City,desktop,0,461,68846.63,15999.07,24,1405.34,bank_transfer,19,4,19.46617,-99.12922,25.5,4,0,1687,19.8,employed,38,female,2.01,premium
33,100266,1564,31.7,transfer,fashion,AR,Buenos Aires,desktop,1,431,40879.15,25041.12,58,2485.64,card,23,2,-34.58989,-58.38187,28.4,14,0,2972,38.6,employed,22,female,4.0,standard
34,100036,342,13.99,purchase,grocery,PE,Lima,mobile,0,435,35595.91,19763.96,14,5000.0,bank_transfer,15,6,-12.06842,-77.06304,16.2,20,0,6945,22.0,student,25,male,0.54,standard
35,100272,577,22.54,transfer,electronics,PE,Lima,desktop,0,597,46301.77,7281.7,18,1767.99,card,23,2,-12.0506,-77.05076,22.0,9,1,1181,27.4,employed,65,female,1.72,premium
36,100287,353,13.37,refund,health,PE,Lima,desktop,0,491,31835.77,12198.75,8,677.95,bank_transfer,16,0,-12.05936,-77.07151,180.7,4,1,1012,16.3,employed,27,female,1.02,standard
37,100185,479,19.44,payment,services,ES,Madrid,desktop,0,519,67981.23,71508.56,12,1383.94,card,7,6,40.46897,-3.68951,54.2,7,0,769,23.7,employed,27,female,1.17,premium
38,100338,334,24.0,purchase,grocery,AR,Buenos Aires,mobile,0,485,101609.31,88504.08,14,5000.0,card,17,2,-34.6154,-58.41368,70.5,13,0,3948,34.2,self_employed,30,female,1.74,vip
39,100033,898,10.52,purchase,utilities,ES,Madrid,mobile,0,433,17250.0,7685.73,24,1619.21,bank_transfer,15,0,40.42375,-3.70499,53.0,6,1,2079,17.8,employed,24,female,1.82,basic
40,100343,2520,39.72,purchase,utilities,PE,Lima,mobile,0,531,55803.5,-5000.0,91,5000.0,cash,23,3,-12.05375,-77.01678,73.2,23,0,6286,61.3,employed,25,male,7.0,premium
41,100363,130,90.86,purchase,utilities,US,Miami,desktop,1,443,57075.08,21480.36,4,3604.05,card,8,6,25.76528,-80.20929,14.8,16,0,4316,100.0,self_employed,30,female,0.06,premium
42,100009,35,19.64,withdrawal,travel,PE,Lima,desktop,0,614,28238.41,22358.25,2,1127.31,card,11,3,-12.03574,-77.0548,27.4,4,0,1018,23.9,student,63,male,0.0,standard
43,100204,331,38.23,withdrawal,grocery,US,Miami,mobile,1,449,14842.63,10132.62,13,1345.86,card,13,6,25.7827,-80.18569,42.1,6,0,769,51.5,retired,32,female,0.33,basic
44,100472,923,32.6,purchase,travel,AR,Buenos Aires,desktop,0,515,109100.99,110973.47,24,4833.75,wallet,3,5,-34.6022,-58.37358,38.7,20,1,4138,39.7,employed,30,female,2.74,vip
45,100048,1174,11.96,purchase,travel,US,Miami,tablet,0,618,37885.96,15400.96,59,4198.39,card,22,3,25.77567,-80.15292,33.4,28,0,4028,14.6,employed,60,male,3.06,standard
46,100280,498,49.59,transfer,fashion,ES,Madrid,mobile,0,469,108937.37,70736.8,8,4636.63,card,16,2,40.42343,-3.68002,35.8,23,0,5415,65.3,employed,22,male,0.87,vip
47,100015,1092,34.46,transfer,fashion,CL,Santiago,mobile,0,639,50160.43,9310.86,33,3287.37,bank_transfer,21,2,-33.46871,-70.67019,32.6,12,1,2419,46.9,student,63,male,3.37,premium
48,100184,1068,14.04,transfer,services,CL,Santiago,mobile,0,500,26260.36,15482.17,29,2359.26,card,23,1,-33.44172,-70.66414,29.3,11,0,1781,22.1,retired,37,male,2.72,standard
49,100024,1571,15.71,refund,services,MX,Mexico City,desktop,1,567,41309.63,-4176.18,57,4780.49,bank_transfer,12,4,19.43528,-99.12907,42.0,26,0,4505,19.1,self_employed,56,female,4.07,standard
50,100082,2049,21.89,purchase,grocery,CO,Bogota,mobile,1,462,50295.95,11298.32,69,5000.0,cash,18,4,4.68862,-74.07094,30.1,29,0,6217,39.6,self_employed,32,female,5.09,premium
51,100289,544,15.96,transfer,grocery,US,Miami,desktop,0,511,41321.7,-5000.0,23,2708.58,wallet,15,3,25.75881,-80.18871,23.8,13,0,2210,19.4,unemployed,29,male,1.47,standard
52,100182,572,27.06,withdrawal,utilities,CL,Santiago,mobile,0,494,46176.46,-5000.0,20,3969.11,card,12,4,-33.44565,-70.67915,53.7,21,0,5528,37.9,employed,30,female,1.2,premium
53,100013,2523,18.21,withdrawal,travel,PE,Lima,mobile,1,513,33400.41,-1015.89,91,3139.43,card,21,6,-12.01371,-77.06797,37.8,17,0,3080,27.2,employed,27,female,7.38,standard
54,100114,916,43.37,transfer,electronics,PE,Lima,mobile,0,587,76468.43,28104.76,24,4877.53,cash,21,2,-12.01001,-77.01126,40.8,14,0,5613,65.8,employed,46,female,2.29,vip
55,100475,265,23.65,withdrawal,utilities,AR,Buenos Aires,mobile,0,572,113365.86,71752.44,2,5000.0,cash,9,6,-34.63293,-58.35445,10.0,29,0,7186,41.8,self_employed,52,male,0.97,vip
56,100440,1771,21.97,purchase,health,PE,Lima,mobile,0,549,44865.02,8206.03,65,1488.61,wallet,10,1,-12.05889,-77.06311,55.4,6,0,2072,31.7,self_employed,62,female,4.7,premium
57,100308,791,16.75,transfer,electronics,CL,Santiago,desktop,0,469,45548.1,14726.1,19,3934.7,card,18,3,-33.47284,-70.65034,14.4,22,0,4182,20.4,employed,18,female,0.0,premium
58,100368,221,25.57,purchase,health,AR,Buenos Aires,mobile,1,621,63134.24,33538.84,6,4848.87,card,10,1,-34.60376,-58.40417,59.4,25,0,6138,36.1,employed,65,female,0.25,premium
59,100055,650,16.55,transfer,electronics,AR,Buenos Aires,mobile,0,465,25621.28,10963.7,30,1272.35,bank_transfer,18,3,-34.58959,-58.37911,34.0,8,0,1261,25.1,student,25,female,2.44,basic
60,100132,86,12.52,withdrawal,grocery,MX,Mexico City,mobile,0,484,17250.0,9538.78,2,880.97,wallet,23,0,19.39156,-99.14906,30.0,6,0,628,20.2,employed,28,female,0.04,basic
61,100237,611,23.38,purchase,electronics,US,Miami,mobile,0,428,49423.01,7752.35,17,3346.57,cash,21,6,25.7554,-80.19027,10.0,17,0,2214,41.4,self_employed,25,female,1.62,premium
62,100470,471,18.47,purchase,health,CL,Santiago,mobile,0,538,55845.08,-4784.73,12,5000.0,wallet,4,3,-33.42741,-70.66935,49.5,20,1,3146,27.5,unemployed,60,female,1.43,premium
63,100075,1506,19.46,purchase,electronics,MX,Mexico City,desktop,0,393,20473.53,19795.48,40,747.9,cash,11,4,19.42146,-99.12698,10.0,6,0,951,31.7,employed,27,male,4.25,basic
64,100316,521,9.92,purchase,travel,CO,Bogota,mobile,0,455,17250.0,-2018.71,26,1812.73,card,23,0,4.71276,-74.05479,24.9,7,1,1778,17.1,employed,28,male,1.09,basic
65,100370,405,54.66,purchase,electronics,MX,Mexico City,mobile,0,572,57964.41,-5000.0,17,4449.69,cash,21,0,19.44612,-99.13783,10.0,17,0,2794,79.5,employed,59,female,1.33,premium
66,100151,1980,32.36,purchase,travel,MX,Mexico City,mobile,1,529,24030.22,12550.03,71,2517.12,bank_transfer,10,2,19.36468,-99.16221,11.6,10,0,1681,44.4,employed,55,female,5.16,basic
67,100072,1338,8.96,purchase,utilities,CO,Bogota,mobile,0,398,19297.38,3488.03,46,1083.53,card,12,3,4.71527,-74.1006,99.9,7,0,706,15.9,employed,27,female,3.4,basic
68,100172,666,13.43,payment,fashion,CO,Bogota,desktop,0,502,23702.91,-5000.0,32,3036.55,card,18,1,4.68944,-74.03758,10.0,19,0,3695,16.3,self_employed,49,male,1.13,basic
69,100164,606,11.53,transfer,utilities,CL,Santiago,mobile,0,561,37009.62,15971.8,13,1239.93,card,23,0,-33.46801,-70.70397,32.4,4,0,1277,19.0,student,51,male,1.61,standard
70,100188,1204,56.39,withdrawal,electronics,AR,Buenos Aires,mobile,0,530,85647.44,34041.28,43,5000.0,card,11,5,-34.63484,-58.34875,16.7,15,0,6279,73.6,employed,32,female,2.98,vip
71,100170,658,8.46,withdrawal,utilities,AR,Buenos Aires,desktop,0,566,19684.98,19767.68,26,729.61,card,10,0,-34.62383,-58.39508,40.1,7,0,890,10.3,employed,53,female,1.69,basic
72,100026,186,16.9,transfer,grocery,CO,Bogota,desktop,0,436,46890.46,2467.54,8,2114.14,wallet,5,2,4.70628,-74.06137,23.4,9,1,1213,20.6,employed,34,male,1.02,premium
73,100101,614,22.59,transfer,utilities,CO,Bogota,mobile,0,510,29911.8,18948.2,21,1058.8,bank_transfer,12,0,4.70177,-74.08837,40.6,6,0,842,32.5,retired,34,female,1.32,standard
74,100392,738,17.42,purchase,grocery,AR,Buenos Aires,desktop,0,462,46871.63,-5000.0,23,5000.0,card,10,0,-34.58809,-58.42307,15.6,23,0,7278,21.2,employed,25,male,1.89,premium
75,100317,122,14.16,withdrawal,grocery,US,Miami,mobile,0,501,43661.28,-5000.0,4,5000.0,card,20,0,25.78398,-80.17293,19.5,21,0,5293,22.2,student,36,female,0.29,standard
76,100107,269,12.05,transfer,health,ES,Madrid,desktop,1,517,30454.04,25825.75,11,846.54,card,14,3,40.43154,-3.71613,20.3,2,1,558,14.7,unemployed,25,male,1.33,standard
77,100049,479,11.96,purchase,services,CO,Bogota,desktop,0,448,20668.26,11804.62,19,2851.24,cash,23,2,4.69772,-74.06209,52.5,15,0,1766,22.6,self_employed,19,female,1.0,basic
78,100160,840,17.88,withdrawal,services,ES,Madrid,mobile,1,501,28954.77,-5000.0,19,4182.77,card,12,0,40.4125,-3.69155,20.9,22,0,5004,26.8,retired,34,female,2.13,standard
79,100369,480,27.32,purchase,fashion,PE,Lima,desktop,0,574,80611.92,8612.71,15,5000.0,bank_transfer,11,1,-12.01124,-77.02311,30.6,15,0,5307,33.2,self_employed,67,female,1.2,vip
80,100223,353,13.59,purchase,fashion,MX,Mexico City,mobile,0,497,22026.34,-758.36,7,952.99,card,10,1,19.412,-99.13222,10.0,4,1,1158,21.5,retired,33,male,0.95,basic
81,100381,904,8.37,payment,travel,PE,Lima,desktop,0,494,19589.78,-5000.0,29,2057.27,cash,14,5,-12.03816,-77.04021,42.5,11,0,1723,18.2,student,61,male,2.12,basic
82,100367,1077,34.9,payment,fashion,CL,Santiago,mobile,1,460,48113.6,33649.62,48,1835.69,cash,11,3,-33.473,-70.69043,23.6,4,0,1660,55.5,student,22,male,3.15,premium
83,100362,648,13.51,transfer,services,CL,Santiago,mobile,0,514,18942.98,17622.04,16,1272.99,card,14,4,-33.41495,-70.66684,17.9,2,1,820,21.4,retired,34,female,1.85,basic
84,100249,1389,11.77,withdrawal,fashion,US,Miami,mobile,0,521,39433.16,-5000.0,54,5000.0,wallet,14,2,25.76184,-80.18151,25.0,23,0,3901,19.3,self_employed,21,female,3.0,standard
85,100328,745,17.57,purchase,services,CL,Santiago,desktop,0,496,66063.23,30868.79,25,5000.0,card,11,0,-33.42922,-70.66151,21.6,23,0,5662,21.4,employed,55,male,1.85,premium
86,100448,1313,19.13,purchase,electronics,PE,Lima,mobile,0,475,57281.23,-5000.0,39,5000.0,wallet,7,2,-12.03903,-77.04917,10.0,15,0,4447,28.3,employed,18,male,0.0,premium
87,100066,108,33.58,payment,fashion,CO,Bogota,mobile,1,393,113779.15,46380.62,2,5000.0,card,14,5,4.69612,-74.05106,21.6,13,0,7470,45.9,unemployed,18,female,0.0,vip
88,100463,1237,17.87,purchase,utilities,ES,Madrid,desktop,0,575,33635.29,8550.99,37,1425.18,wallet,22,3,40.41646,-3.68381,32.6,8,0,1211,21.7,employed,62,male,2.8,standard
89,100320,653,65.79,purchase,health,MX,Mexico City,mobile,1,573,78023.81,-4194.21,18,5000.0,card,15,4,19.44492,-99.12307,32.9,26,0,5348,85.1,employed,59,male,1.57,vip
90,100125,650,9.43,purchase,travel,CO,Bogota,mobile,0,410,15764.05,6223.6,22,451.66,wallet,9,6,4.67312,-74.0668,31.7,4,0,314,16.5,retired,28,female,1.81,basic
91,100142,333,27.09,transfer,grocery,PE,Lima,desktop,1,417,81520.19,59832.93,10,5000.0,card,20,1,-12.04253,-77.0516,64.7,20,1,5727,33.0,retired,18,female,0.0,vip
92,100234,839,35.72,purchase,utilities,CO,Bogota,desktop,0,443,93062.87,2315.83,22,5000.0,card,10,2,4.73561,-74.0893,21.8,20,0,4525,43.5,employed,23,female,2.77,vip
93,100042,1352,13.18,purchase,fashion,CL,Santiago,mobile,0,489,38846.31,21164.52,54,878.95,card,17,6,-33.48209,-70.6555,10.0,5,1,954,21.0,retired,40,female,3.68,standard
94,100190,940,12.64,refund,grocery,AR,Buenos Aires,mobile,0,569,20005.85,8133.18,28,1748.66,card,14,4,-34.58102,-58.39773,29.6,4,0,1478,20.4,employed,62,female,2.98,basic
95,100041,695,22.17,withdrawal,health,US,Miami,mobile,1,511,56301.59,51474.52,19,5000.0,wallet,12,5,25.74393,-80.17859,10.0,20,0,3066,32.0,employed,28,male,1.68,premium
96,100252,380,11.71,transfer,travel,AR,Buenos Aires,mobile,0,592,31087.79,1806.93,15,1880.96,bank_transfer,13,3,-34.64755,-58.36207,31.9,10,0,1500,19.2,self_employed,66,male,1.59,standard
97,100102,1363,19.8,transfer,electronics,CL,Santiago,tablet,0,579,62658.6,27693.52,35,5000.0,bank_transfer,19,5,-33.42128,-70.65996,18.7,12,0,4567,24.1,employed,61,female,3.55,premium
98,100261,736,16.24,withdrawal,services,US,Miami,mobile,0,494,45921.46,-5000.0,31,4779.13,card,15,2,25.79507,-80.15012,21.2,26,0,2915,24.8,employed,28,male,1.86,premium
99,100351,944,21.04,purchase,grocery,AR,Buenos Aires,mobile,0,446,28124.17,8083.35,24,764.35,cash,10,6,-34.62817,-58.39686,22.1,6,0,398,38.6,student,20,female,2.0,standard
100,100461,388,67.56,payment,grocery,PE,Lima,mobile,1,483,90679.72,44381.39,8,5000.0,card,9,2,-12.02003,-77.04271,20.3,14,0,4394,87.2,student,29,female,1.08,vip
101,100199,314,25.7,withdrawal,utilities,PE,Lima,mobile,1,545,26504.85,10176.48,7,1861.36,card,23,6,-12.02796,-77.01315,25.2,9,0,1833,36.3,employed,57,male,1.11,standard
102,100450,97,9.84,payment,grocery,CL,Santiago,mobile,1,539,23309.18,29383.44,3,923.81,card,8,4,-33.44568,-70.65528,67.0,4,1,582,17.0,unemployed,49,female,0.65,basic
103,100231,981,11.99,purchase,utilities,CL,Santiago,mobile,0,500,38227.56,-5000.0,35,5000.0,card,12,5,-33.43831,-70.6709,57.3,19,0,6965,19.6,retired,27,female,2.64,standard
104,100095,913,9.79,purchase,fashion,CL,Santiago,desktop,0,446,18540.35,1892.11,40,2726.73,wallet,17,6,-33.43089,-70.64952,54.3,12,1,2092,11.9,retired,18,female,0.0,basic
105,100054,846,12.45,withdrawal,fashion,CO,Bogota,mobile,1,437,31079.39,-5000.0,30,3743.66,card,11,4,4.70515,-74.0449,57.1,18,0,2812,20.1,employed,21,female,2.15,standard
106,100309,642,52.37,refund,fashion,AR,Buenos Aires,mobile,1,594,51782.74,39027.1,24,5000.0,bank_transfer,1,2,-34.58624,-58.38309,39.0,29,0,6850,68.7,student,71,female,2.43,premium
107,100341,495,32.32,withdrawal,utilities,MX,Mexico City,mobile,0,505,75544.59,-5000.0,12,5000.0,bank_transfer,16,2,19.43944,-99.11563,10.7,12,0,5183,44.3,self_employed,45,female,0.18,vip
108,100346,1240,28.91,payment,fashion,CL,Santiago,mobile,0,478,133416.91,82945.33,37,3164.7,card,21,5,-33.43593,-70.67154,17.5,14,0,4205,40.2,self_employed,23,male,3.61,vip
109,100155,394,22.01,purchase,utilities,US,Miami,desktop,0,504,59144.72,54819.2,13,2054.68,cash,14,1,25.73861,-80.19931,25.9,11,1,2984,34.8,employed,49,female,1.15,premium
110,100299,1016,23.42,purchase,fashion,US,Miami,mobile,1,461,76228.81,35272.17,35,5000.0,wallet,13,4,25.76784,-80.1951,50.1,12,0,2891,33.5,employed,28,male,2.03,vip
111,100286,439,29.25,payment,electronics,CO,Bogota,desktop,0,422,42971.35,-2675.91,15,4139.86,card,21,2,4.69392,-74.03931,24.2,20,0,2368,35.6,employed,22,female,0.88,standard
112,100459,41,11.51,purchase,grocery,ES,Madrid,mobile,0,562,27372.53,22881.53,2,2051.07,cash,22,1,40.43271,-3.68492,39.2,9,0,2695,27.0,unemployed,55,non_binary,0.46,standard
113,100291,543,19.11,transfer,grocery,MX,Mexico City,mobile,1,421,50509.02,48294.12,18,2025.17,bank_transfer,22,5,19.44889,-99.12047,27.6,8,1,2076,28.3,self_employed,21,female,1.79,premium
114,100196,307,9.71,transfer,health,AR,Buenos Aires,desktop,0,548,23044.14,27841.89,14,566.28,bank_transfer,9,0,-34.58502,-58.36073,43.6,4,1,769,11.8,student,56,female,1.09,basic
115,100000,598,42.44,purchase,fashion,ES,Madrid,mobile,1,461,86211.01,49531.94,23,5000.0,card,14,4,40.41739,-3.7193,74.3,17,0,5607,56.6,self_employed,23,female,1.94,vip
116,100402,1457,12.5,payment,utilities,AR,Buenos Aires,desktop,0,473,27093.04,15806.73,44,637.36,card,9,0,-34.5959,-58.33001,26.7,2,0,376,15.2,employed,35,female,3.63,standard
117,100148,329,14.79,payment,services,CO,Bogota,desktop,0,553,39614.9,30640.09,15,3042.22,cash,12,2,4.69444,-74.07034,18.3,14,0,3175,26.0,retired,63,male,1.26,standard
118,100438,966,42.77,payment,utilities,AR,Buenos Aires,tablet,0,413,142634.28,127646.55,31,3852.97,card,11,1,-34.60559,-58.40529,77.4,29,0,5643,52.0,self_employed,24,male,2.28,vip
119,100295,296,35.22,withdrawal,services,CL,Santiago,mobile,1,600,40303.04,-5000.0,10,4708.11,card,16,4,-33.47641,-70.66774,10.0,18,0,5078,47.9,employed,71,male,0.09,standard
120,100150,270,19.21,purchase,fashion,MX,Mexico City,mobile,0,417,62904.8,6446.94,11,5000.0,card,17,4,19.44295,-99.14563,10.5,22,1,6152,28.4,student,21,male,0.8,premium
121,100191,166,19.79,purchase,grocery,CO,Bogota,desktop,0,561,51664.62,31257.57,8,2728.04,bank_transfer,16,4,4.72591,-74.06434,18.3,14,0,3827,24.1,employed,62,male,1.41,premium
122,100267,122,11.24,withdrawal,utilities,ES,Madrid,mobile,0,471,32620.7,-4971.23,4,1690.42,cash,9,3,40.40784,-3.68715,32.8,4,0,1120,26.7,student,28,male,0.0,standard
123,100020,961,18.32,purchase,grocery,CO,Bogota,mobile,0,528,66880.79,-5000.0,32,5000.0,card,14,0,4.69885,-74.06616,15.5,16,0,5416,27.3,employed,27,female,2.7,premium
124,100120,1165,22.99,transfer,services,US,Miami,mobile,0,571,60973.52,30238.39,34,2190.53,card,10,2,25.75233,-80.18678,32.1,14,0,2922,33.0,employed,66,female,3.47,premium
125,100226,1902,13.19,withdrawal,fashion,CL,Santiago,mobile,1,533,41206.91,-5000.0,66,4226.37,card,20,3,-33.4308,-70.6517,20.2,17,0,5063,21.0,student,54,male,5.32,standard
126,100455,983,11.3,purchase,services,US,Miami,mobile,0,611,42777.62,22924.82,23,5000.0,card,19,1,25.75258,-80.17539,46.4,21,0,5298,18.7,employed,60,female,2.48,standard
127,100384,2530,11.15,payment,grocery,ES,Madrid,mobile,1,468,31433.88,8240.49,87,2519.44,bank_transfer,8,1,40.40549,-3.71991,31.0,13,0,3028,18.6,self_employed,21,female,3.0,standard
128,100293,424,22.43,purchase,travel,AR,Buenos Aires,mobile,0,516,105685.86,98554.25,14,5000.0,card,15,1,-34.62532,-58.39413,19.8,21,0,3440,32.3,employed,34,male,0.55,vip
129,100421,634,12.42,purchase,health,ES,Madrid,mobile,0,432,36572.19,6160.9,14,2051.48,wallet,22,1,40.45319,-3.70451,16.6,11,1,1830,20.1,unemployed,30,male,1.69,standard
130,100374,678,22.36,purchase,services,ES,Madrid,mobile,1,437,67090.52,-5000.0,22,5000.0,card,23,3,40.42866,-3.71351,17.6,23,0,6118,32.2,employed,25,male,2.41,premium
131,100344,2097,27.81,payment,grocery,AR,Buenos Aires,mobile,1,531,148249.77,183929.5,59,5000.0,card,18,5,-34.60282,-58.38251,24.4,27,0,3549,38.8,self_employed,51,female,4.8,vip
132,100383,980,27.95,transfer,grocery,PE,Lima,mobile,0,459,73231.91,11604.15,32,5000.0,card,10,3,-12.04475,-77.04258,19.5,23,0,6818,39.0,employed,37,female,2.6,vip
133,100424,792,13.9,payment,grocery,AR,Buenos Aires,mobile,0,587,23808.48,16824.87,30,1081.39,bank_transfer,14,6,-34.63641,-58.38775,21.3,6,0,1053,21.9,employed,60,female,2.27,basic
134,100427,100,8.85,purchase,fashion,CL,Santiago,mobile,0,490,16970.57,1206.37,1,1746.64,card,22,1,-33.44695,-70.64879,24.3,8,1,1914,15.8,student,45,male,0.61,basic
135,100031,1661,63.39,transfer,electronics,AR,Buenos Aires,mobile,1,550,127910.87,115216.94,68,5000.0,card,10,3,-34.61727,-58.3622,13.7,19,0,4902,82.1,employed,55,male,4.64,vip
136,100246,602,8.08,purchase,utilities,CO,Bogota,desktop,0,478,12750.0,6645.1,23,1003.45,wallet,20,4,4.69404,-74.06327,19.5,2,0,1487,9.8,student,36,female,1.6,basic
